"Date","Price","Open","High","Low","Vol.","Change %"
"01-01-2026","991.15","993.50","997.55","989.50","7.13M","-0.01%"
"31-12-2025","991.20","991.00","997.60","987.60","10.96M","0.03%"
"30-12-2025","990.90","990.20","995.00","982.20","33.16M","-0.08%"
"29-12-2025","991.70","993.10","997.40","987.20","13.55M","-0.04%"
"26-12-2025","992.10","996.00","997.20","987.70","9.36M","-0.51%"
"24-12-2025","997.20","993.00","999.40","993.00","13.70M","0.06%"
"23-12-2025","996.60","990.50","998.90","987.70","17.93M","0.90%"
"22-12-2025","987.70","988.00","992.90","983.90","13.54M","0.22%"
"19-12-2025","985.50","987.00","988.00","978.70","25.95M","0.59%"
"18-12-2025","979.70","973.30","987.40","973.30","14.91M","-0.44%"
"17-12-2025","984.00","996.00","996.00","980.80","19.08M","-1.04%"
"16-12-2025","994.30","990.10","998.70","990.10","20.05M","-0.18%"
"15-12-2025","996.10","992.00","1,001.80","992.00","9.79M","-0.54%"
"12-12-2025","1,001.50","1,003.00","1,004.70","998.20","11.99M","0.12%"
"11-12-2025","1,000.30","990.00","1,002.70","988.50","11.84M","1.06%"
"10-12-2025","989.80","997.50","998.50","985.30","15.32M","-0.73%"
"09-12-2025","997.10","994.90","1,002.80","994.00","15.29M","-0.60%"
"08-12-2025","1,003.10","1,000.00","1,006.50","997.50","12.90M","-0.02%"
"05-12-2025","1,003.30","992.00","1,008.00","990.20","12.84M","0.61%"
"04-12-2025","997.20","1,000.00","1,004.70","993.00","14.53M","-0.33%"
"03-12-2025","1,000.50","986.00","1,002.30","986.00","15.45M","1.08%"
"02-12-2025","989.80","988.00","994.40","985.00","27.32M","-1.23%"
"01-12-2025","1,002.10","1,017.50","1,017.50","999.30","16.75M","-0.55%"
"28-11-2025","1,007.60","1,007.00","1,012.05","1,004.20","15.99M","-0.19%"
"27-11-2025","1,009.50","1,002.10","1,016.80","1,001.00","25.54M","0.56%"
"26-11-2025","1,003.90","981.30","1,006.95","981.30","19.49M","1.42%"
"25-11-2025","989.80","1,004.00","1,006.10","988.40","24.99M","-0.94%"
"24-11-2025","999.15","1,000.00","1,011.45","993.60","32.20M","0.11%"
"21-11-2025","998.05","1,003.10","1,008.30","996.55","17.50M","-1.07%"
"20-11-2025","1,008.85","995.30","1,011.60","992.45","19.85M","1.43%"
"19-11-2025","994.60","990.00","996.55","984.00","19.81M","0.22%"
