"Date","Price","Open","High","Low","Vol.","Change %"
"10-10-2024","829.14","817.47","830.66","814.22","21.75M","1.79%"
"09-10-2024","814.55","822.70","826.32","812.33","41.13M","-1.08%"
"08-10-2024","823.48","812.98","826.34","808.99","29.73M","2.06%"
"07-10-2024","806.89","824.05","827.44","804.50","94.46M","-2.40%"
"04-10-2024","826.77","835.17","843.23","824.45","48.68M","-1.45%"
"03-10-2024","838.91","855.70","860.93","834.60","48.47M","-2.56%"
"01-10-2024","860.96","859.86","868.84","857.92","24.57M","-0.34%"
"30-09-2024","863.88","872.23","873.55","860.06","26.38M","-1.18%"
"27-09-2024","874.15","886.29","886.89","872.83","35.61M","-1.73%"
"26-09-2024","889.51","884.32","891.78","881.83","31.90M","0.24%"
"25-09-2024","887.34","877.89","891.78","877.89","31.97M","0.62%"
"24-09-2024","881.83","880.31","888.61","874.95","33.04M","0.47%"
"23-09-2024","877.72","872.33","880.98","867.97","26.97M","1.07%"
"20-09-2024","868.44","856.12","870.31","851.66","60.62M","1.91%"
"19-09-2024","852.13","847.49","857.37","847.47","30.65M","0.81%"
"18-09-2024","845.30","833.85","847.34","833.48","40.92M","1.56%"
"17-09-2024","832.33","836.92","836.92","830.01","20.13M","-0.13%"
"16-09-2024","833.40","831.43","836.82","829.96","15.17M","0.30%"
"13-09-2024","830.91","834.92","834.92","826.47","23.86M","-0.04%"
"12-09-2024","831.23","824.95","832.93","821.48","32.42M","1.38%"
"11-09-2024","819.91","823.15","824.20","817.57","22.23M","-0.39%"
"10-09-2024","823.13","824.95","824.95","816.97","26.61M","0.23%"
"09-09-2024","821.21","816.97","822.20","813.03","23.79M","0.58%"
"06-09-2024","816.44","817.12","821.83","815.02","26.03M","-0.52%"
"05-09-2024","820.68","820.96","822.90","818.96","22.88M","0.22%"
"04-09-2024","818.86","817.47","820.36","813.97","24.68M","0.27%"
"03-09-2024","816.64","814.97","817.94","810.28","37.28M","0.64%"
"02-09-2024","811.46","821.36","821.36","809.59","34.05M","-0.61%"
"30-08-2024","816.42","825.94","828.94","808.56","445.34M","-0.10%"
"29-08-2024","817.24","818.96","820.16","813.55","49.05M","0.09%"
"28-08-2024","816.52","816.84","817.84","813.08","26.92M","-0.04%"
"27-08-2024","816.84","819.66","821.66","814.07","35.77M","-0.13%"
"26-08-2024","817.94","814.07","821.93","814.07","22.36M","0.92%"
"23-08-2024","810.51","814.97","814.97","809.49","20.33M","-0.38%"
"22-08-2024","813.63","813.97","817.12","811.98","21.30M","0.34%"
"21-08-2024","810.88","812.03","815.25","806.89","47.63M","-0.73%"
"20-08-2024","816.82","811.71","820.96","811.71","31.13M","0.38%"
"19-08-2024","813.75","816.79","816.79","809.83","19.50M","-0.03%"
"16-08-2024","814.02","812.23","815.05","803.50","27.85M","1.51%"
"14-08-2024","801.90","801.26","804.85","799.61","32.33M","0.29%"
"13-08-2024","799.61","811.98","814.17","798.59","54.06M","-3.43%"
"12-08-2024","827.99","823.95","835.90","821.63","39.32M","0.60%"
"09-08-2024","823.05","823.95","829.21","820.86","26.64M","0.46%"
"08-08-2024","819.31","809.98","824.60","807.62","33.98M","1.18%"
"07-08-2024","809.74","806.49","812.98","799.11","42.35M","1.39%"
"06-08-2024","798.61","812.98","814.45","794.67","45.12M","-0.90%"
"05-08-2024","805.87","818.01","820.96","798.51","41.33M","-2.62%"
"02-08-2024","827.52","813.48","833.18","813.48","44.12M","1.24%"
"01-08-2024","817.37","809.44","822.98","806.97","26.22M","1.43%"
"31-07-2024","805.87","805.00","811.93","802.60","37.82M","0.01%"
"30-07-2024","805.77","799.01","815.35","797.52","54.60M","0.65%"
"29-07-2024","800.53","805.50","813.90","797.17","51.00M","-0.81%"
"26-07-2024","807.07","800.51","808.86","796.24","43.81M","0.10%"
"25-07-2024","806.29","794.52","810.48","794.52","25.54M","0.78%"
"24-07-2024","800.03","802.08","808.49","792.05","61.73M","-0.89%"
"23-07-2024","807.19","821.73","821.86","800.51","52.00M","-1.47%"
"22-07-2024","819.24","806.49","823.45","804.32","53.74M","2.19%"
"19-07-2024","801.66","805.99","809.49","799.76","26.00M","-0.46%"
"18-07-2024","805.40","802.00","809.96","797.59","33.72M","-0.31%"
"16-07-2024","807.86","808.36","811.48","806.39","28.95M","-0.14%"
"15-07-2024","809.04","809.74","812.88","805.60","33.38M","-0.04%"
"12-07-2024","809.34","808.99","817.17","803.58","56.05M","0.05%"
"11-07-2024","808.94","809.96","810.91","798.51","44.18M","-0.26%"
"10-07-2024","811.03","812.95","817.96","808.36","45.51M","-0.64%"
"09-07-2024","816.22","810.48","821.31","808.16","48.55M","0.07%"
"08-07-2024","815.65","820.61","825.42","811.56","39.09M","-0.77%"
"05-07-2024","822.00","840.41","840.41","819.06","82.24M","-4.58%"
"04-07-2024","861.43","877.69","877.69","860.28","45.85M","-2.35%"
"03-07-2024","882.13","893.28","894.77","880.14","123.22M","2.20%"
"02-07-2024","863.15","855.37","865.30","849.26","45.92M","1.49%"
"01-07-2024","850.48","837.92","851.53","837.92","21.19M","1.27%"
"28-06-2024","839.81","846.69","851.18","837.42","26.48M","-0.73%"
"27-06-2024","845.97","845.95","854.37","841.21","55.07M","-0.31%"
"26-06-2024","848.64","851.86","853.33","843.45","47.60M","-0.58%"
"25-06-2024","853.55","833.48","856.34","833.48","74.52M","2.33%"
"24-06-2024","834.12","821.46","835.47","820.83","28.54M","0.40%"
"21-06-2024","830.81","834.35","834.35","819.54","51.63M","-0.22%"
"20-06-2024","832.60","832.83","838.64","823.95","41.41M","0.69%"
"19-06-2024","826.87","804.70","832.88","800.01","90.13M","3.11%"
"18-06-2024","801.90","796.47","803.25","792.75","32.42M","0.68%"
"14-06-2024","796.47","790.03","797.52","786.89","25.54M","1.02%"
"13-06-2024","788.41","788.91","790.88","785.05","24.12M","0.42%"
"12-06-2024","785.12","785.55","792.18","781.26","39.28M","0.60%"
"11-06-2024","780.46","776.07","783.55","774.17","29.55M","0.22%"
"10-06-2024","778.71","785.05","788.36","776.87","22.45M","-0.77%"
"07-06-2024","784.72","778.59","790.21","774.10","36.71M","0.88%"
"06-06-2024","777.91","780.51","780.78","771.38","46.42M","0.51%"
"05-06-2024","773.97","745.17","777.86","739.34","81.63M","4.63%"
"04-06-2024","739.73","776.57","777.57","725.20","89.53M","-5.66%"
"03-06-2024","784.15","797.52","797.52","773.08","72.64M","2.65%"
"31-05-2024","763.87","757.61","766.09","755.12","74.08M","1.10%"
"30-05-2024","755.55","747.74","759.91","746.97","33.76M","0.43%"
"29-05-2024","752.28","757.12","760.03","748.76","35.15M","-1.45%"
"28-05-2024","763.35","763.15","766.12","760.51","27.91M","0.18%"
"27-05-2024","761.95","759.78","770.58","757.64","29.39M","0.69%"
"24-05-2024","756.72","741.90","758.06","741.16","31.06M","1.65%"
"23-05-2024","744.45","727.51","745.97","726.72","40.86M","2.29%"
"22-05-2024","727.79","727.12","730.98","722.28","40.00M","0.03%"
"21-05-2024","727.59","723.25","733.03","723.25","43.77M","-0.49%"
"18-05-2024","731.21","731.18","731.73","729.71","1.06M","0.13%"
"17-05-2024","730.23","721.31","732.18","721.31","20.92M","0.26%"
"16-05-2024","728.31","721.23","729.46","715.97","34.95M","1.51%"
"15-05-2024","717.46","728.04","728.04","716.12","38.93M","-1.54%"
"14-05-2024","728.66","724.32","730.93","723.35","25.67M","0.39%"
"13-05-2024","725.82","714.22","728.09","713.38","27.05M","1.21%"
"10-05-2024","717.17","717.71","724.17","711.63","27.28M","-0.66%"
"09-05-2024","721.95","735.64","741.53","720.86","46.28M","-2.37%"
"08-05-2024","739.49","746.12","746.62","738.34","41.69M","-1.56%"
"07-05-2024","751.21","759.09","760.13","750.21","28.48M","-1.08%"
"06-05-2024","759.44","759.11","765.35","756.69","28.79M","0.20%"
"03-05-2024","757.91","764.72","768.39","751.73","31.87M","-0.83%"
"02-05-2024","764.22","759.11","766.59","758.29","33.48M","0.80%"
"30-04-2024","758.16","762.70","767.84","755.57","52.31M","-0.61%"
"29-04-2024","762.85","755.62","765.32","751.41","36.09M","1.30%"
"26-04-2024","753.03","758.01","762.10","750.91","24.85M","-0.06%"
"25-04-2024","753.50","751.26","757.96","751.26","35.45M","-0.06%"
"24-04-2024","753.97","755.62","758.99","752.65","22.44M","0.27%"
"23-04-2024","751.93","761.26","761.36","749.76","26.83M","-0.30%"
"22-04-2024","754.22","776.77","776.77","752.28","42.30M","-1.25%"
"19-04-2024","763.75","741.43","765.57","738.29","34.58M","2.45%"
"18-04-2024","745.50","753.03","757.54","743.67","34.23M","-0.96%"
"16-04-2024","752.75","741.65","754.57","739.29","20.74M","0.97%"
"15-04-2024","745.50","746.92","753.13","744.17","23.42M","-1.60%"
"12-04-2024","757.59","758.61","763.03","754.85","41.08M","-1.13%"
"10-04-2024","766.27","773.03","773.03","764.57","27.81M","-0.79%"
"09-04-2024","772.35","775.50","775.50","768.24","21.88M","0.13%"
"08-04-2024","771.38","775.55","776.69","768.86","20.48M","-0.19%"
"05-04-2024","772.85","767.59","775.32","763.18","59.06M","1.44%"
"04-04-2024","761.90","750.13","763.10","750.13","88.94M","3.06%"
"03-04-2024","739.31","734.22","745.97","733.87","45.58M","0.15%"
"02-04-2024","738.24","730.76","745.57","729.81","41.23M","0.66%"
"01-04-2024","733.43","727.19","735.07","725.99","25.20M","1.56%"
"28-03-2024","722.15","718.56","728.44","718.56","55.59M","0.50%"
"27-03-2024","718.56","710.01","722.18","708.86","62.17M","1.07%"
"26-03-2024","710.93","711.83","717.19","709.31","56.84M","-1.21%"
"22-03-2024","719.63","718.71","723.57","717.09","45.98M","-0.20%"
"21-03-2024","721.08","719.51","723.82","717.37","28.92M","1.03%"
"20-03-2024","713.75","722.73","724.02","710.56","43.61M","-1.26%"
"19-03-2024","722.88","715.97","724.40","715.97","36.18M","0.23%"
"18-03-2024","721.23","721.70","726.19","716.12","21.44M","-0.45%"
"15-03-2024","724.52","723.20","727.84","719.34","143.61M","-0.19%"
"14-03-2024","725.92","729.24","731.18","720.36","52.43M","-0.34%"
"13-03-2024","728.39","730.93","733.97","723.25","63.07M","0.06%"
"12-03-2024","727.96","715.22","730.18","712.85","65.42M","2.22%"
"11-03-2024","712.13","713.23","721.18","709.73","50.53M","-1.27%"
"07-03-2024","721.26","720.96","723.72","718.91","49.35M","0.24%"
"06-03-2024","719.51","715.00","724.62","715.00","42.41M","0.12%"
"05-03-2024","718.64","709.24","719.71","709.06","37.99M","0.57%"
"04-03-2024","714.57","713.70","716.72","710.38","35.62M","0.14%"
"02-03-2024","713.60","715.49","716.22","712.28","1.79M","0.00%"
"01-03-2024","713.60","698.26","714.60","698.26","34.74M","1.95%"
"29-02-2024","699.96","699.31","703.45","696.92","53.30M","-0.43%"
"28-02-2024","702.95","708.31","710.33","700.26","25.32M","-0.76%"
"27-02-2024","708.31","705.02","711.58","704.77","32.09M","-0.15%"
"26-02-2024","709.38","705.02","715.64","705.02","23.51M","0.12%"
"23-02-2024","708.54","709.51","715.17","707.24","29.83M","0.07%"
"22-02-2024","708.01","707.12","712.63","704.35","50.56M","-1.36%"
"21-02-2024","717.79","730.18","730.18","715.72","45.89M","-1.04%"
"20-02-2024","725.35","705.74","726.82","704.15","56.13M","2.63%"
"19-02-2024","706.79","712.73","712.73","705.84","34.45M","-0.20%"
"16-02-2024","708.19","710.18","712.08","702.48","32.18M","0.41%"
"15-02-2024","705.27","690.78","705.99","690.46","41.58M","2.17%"
"14-02-2024","690.31","686.29","694.02","680.08","91.32M","-0.75%"
"13-02-2024","695.49","694.25","700.43","690.46","57.58M","0.32%"
"12-02-2024","693.28","698.09","705.07","689.96","34.45M","-0.97%"
"09-02-2024","700.06","694.35","705.34","691.78","56.64M","0.04%"
"08-02-2024","699.78","713.15","717.69","698.51","69.11M","-1.88%"
"07-02-2024","713.20","724.70","725.10","711.55","54.84M","-0.98%"
"06-02-2024","720.26","720.98","723.05","714.52","41.08M","-0.05%"
"05-02-2024","720.63","721.21","724.15","715.25","38.61M","-0.09%"
"02-02-2024","721.28","735.67","738.59","719.24","44.87M","-1.38%"
"01-02-2024","731.36","730.71","734.97","726.22","32.69M","0.26%"
"31-01-2024","729.46","717.96","735.64","716.62","65.76M","1.26%"
"30-01-2024","720.36","725.47","729.78","718.66","41.73M","-0.71%"
"29-01-2024","725.52","722.23","729.58","721.11","65.65M","1.38%"
"25-01-2024","715.67","724.45","726.87","707.94","98.94M","-1.44%"
"24-01-2024","726.14","688.41","727.42","688.41","86.00M","2.00%"
"23-01-2024","711.90","730.68","735.52","710.73","115.47M","-3.48%"
"20-01-2024","737.59","739.76","745.99","736.17","25.84M","0.56%"
"19-01-2024","733.50","751.11","753.25","732.38","109.60M","-1.04%"
"18-01-2024","741.23","745.15","755.62","738.19","161.07M","-3.34%"
"17-01-2024","766.84","783.05","796.42","762.30","170.15M","-8.44%"
"16-01-2024","837.49","834.42","839.74","826.99","25.32M","0.38%"
"15-01-2024","834.32","821.81","838.36","819.76","28.32M","1.93%"
"12-01-2024","818.56","823.95","825.94","814.77","19.77M","-0.47%"
"11-01-2024","822.45","827.94","829.39","819.46","18.31M","-0.42%"
"10-01-2024","825.92","819.46","827.91","818.66","16.12M","0.33%"
"09-01-2024","823.20","831.51","836.82","821.33","25.33M","-0.78%"
"08-01-2024","829.66","837.17","839.09","827.94","18.00M","-1.11%"
"05-01-2024","839.01","841.48","850.33","831.98","31.89M","-0.51%"
"04-01-2024","843.33","836.92","845.37","833.28","26.73M","1.07%"
"03-01-2024","834.37","848.89","850.23","832.40","28.39M","-1.54%"
"02-01-2024","847.44","847.29","849.29","842.25","29.24M","22.02%"
"22-07-2022","694.52","681.30","696.77","679.51","12.73M","2.33%"
"21-07-2022","678.69","678.59","683.05","677.36","12.64M","-0.32%"
"20-07-2022","680.83","678.26","683.85","675.94","20.35M","1.26%"
"19-07-2022","672.35","666.84","677.59","666.84","15.79M","0.04%"
"18-07-2022","672.10","672.33","681.35","669.36","20.33M","-1.06%"
"15-07-2022","679.33","674.82","680.76","671.73","13.60M","0.81%"
"14-07-2022","673.85","679.31","684.62","672.95","10.37M","-0.50%"
"13-07-2022","677.24","693.28","695.37","675.44","15.95M","-2.44%"
"12-07-2022","694.17","700.88","700.88","692.98","9.88M","-1.02%"
"11-07-2022","701.33","695.27","703.20","694.90","7.46M","0.65%"
"08-07-2022","696.82","703.25","703.25","695.64","12.47M","0.09%"
"07-07-2022","696.17","688.29","697.27","685.52","17.74M","1.79%"
"06-07-2022","683.92","672.33","685.00","671.88","15.05M","1.38%"
"05-07-2022","674.62","680.31","687.96","672.48","14.33M","-0.22%"
"04-07-2022","676.14","675.17","678.41","669.46","8.49M","0.14%"
"01-07-2022","675.20","670.31","678.31","663.37","11.47M","0.43%"
"30-06-2022","672.33","666.34","675.32","666.34","12.48M","0.30%"
"29-06-2022","670.31","663.97","673.70","663.97","9.99M","-0.14%"
"28-06-2022","671.28","670.33","673.82","667.54","9.77M","-0.76%"
"27-06-2022","676.44","683.30","686.29","674.32","9.80M","0.18%"
"24-06-2022","675.22","667.61","679.14","667.61","8.01M","1.40%"
"23-06-2022","665.92","663.60","672.33","657.61","15.37M","0.37%"
"22-06-2022","663.47","664.47","666.82","659.96","8.16M","-0.47%"
"21-06-2022","666.62","666.79","675.32","660.38","13.22M","1.09%"
"20-06-2022","659.43","650.73","660.86","645.47","15.94M","2.51%"
"17-06-2022","643.27","635.92","647.89","634.22","14.72M","0.66%"
"16-06-2022","639.06","653.37","658.64","637.41","12.17M","-2.00%"
"15-06-2022","652.10","649.21","656.27","647.59","11.81M","-0.35%"
"14-06-2022","654.37","654.00","661.35","650.88","11.87M","-1.10%"
"13-06-2022","661.65","660.16","663.35","652.53","10.89M","-1.81%"
"10-06-2022","673.87","678.36","682.28","670.13","9.16M","-1.93%"
"09-06-2022","687.14","679.43","689.31","676.89","7.31M","0.75%"
"08-06-2022","682.00","684.95","688.79","676.82","5.99M","0.35%"
"07-06-2022","679.61","679.31","685.44","675.37","10.25M","-1.15%"
"06-06-2022","687.51","686.44","691.78","678.64","6.17M","-0.13%"
"03-06-2022","688.44","697.41","698.64","686.44","6.96M","-0.35%"
"02-06-2022","690.83","691.90","692.28","687.59","11.48M","-0.70%"
"01-06-2022","695.69","688.29","698.49","687.86","12.09M","0.42%"
"31-05-2022","692.75","696.22","700.66","688.29","13.49M","-0.90%"
"30-05-2022","699.04","703.37","708.49","697.49","12.62M","0.68%"
"27-05-2022","694.30","684.20","695.62","683.67","24.03M","1.85%"
"26-05-2022","681.65","669.41","683.80","668.34","26.99M","2.85%"
"25-05-2022","662.75","663.35","666.32","659.96","12.89M","0.75%"
"24-05-2022","657.84","648.39","660.86","646.84","12.87M","1.15%"
"23-05-2022","650.38","655.37","663.32","647.94","19.49M","-1.28%"
"20-05-2022","658.84","649.88","660.46","644.57","13.92M","2.63%"
"19-05-2022","641.93","641.50","646.59","637.56","20.54M","-2.04%"
"18-05-2022","655.32","660.38","665.00","653.37","15.73M","-0.01%"
"17-05-2022","655.37","654.67","656.87","647.49","16.64M","0.68%"
"16-05-2022","650.93","647.89","654.37","641.05","9.80M","1.06%"
"13-05-2022","644.07","653.40","657.36","641.90","16.77M","-0.90%"
"12-05-2022","649.91","658.91","661.75","644.90","22.38M","-3.38%"
"11-05-2022","672.63","674.82","675.82","662.68","17.10M","0.56%"
"10-05-2022","668.86","655.89","674.82","655.89","20.11M","1.61%"
"09-05-2022","658.29","648.39","661.60","646.14","32.76M","0.17%"
"06-05-2022","657.16","663.35","665.84","654.87","26.73M","-2.61%"
"05-05-2022","674.80","685.79","685.79","671.58","17.86M","-0.22%"
"04-05-2022","676.32","698.26","700.06","673.32","29.06M","-3.40%"
"02-05-2022","700.11","679.33","701.48","679.33","19.49M","1.38%"
"29-04-2022","690.58","688.46","700.63","684.07","28.40M","0.97%"
"28-04-2022","683.97","684.30","687.79","679.36","20.77M","-0.09%"
"27-04-2022","684.57","678.31","687.79","676.37","18.05M","0.04%"
"26-04-2022","684.32","684.30","689.26","676.89","17.02M","0.46%"
"25-04-2022","681.18","673.32","683.62","659.48","20.94M","0.75%"
"22-04-2022","676.12","678.31","685.97","672.90","20.66M","-1.36%"
"21-04-2022","685.47","680.81","688.19","674.97","52.45M","1.48%"
"20-04-2022","675.47","675.54","678.26","666.02","49.33M","0.90%"
"19-04-2022","669.43","688.74","693.05","661.85","74.10M","-3.82%"
"18-04-2022","695.99","707.66","714.05","693.30","45.62M","-4.74%"
"13-04-2022","730.66","743.15","749.29","729.51","28.89M","-1.91%"
"12-04-2022","744.90","740.16","751.55","738.24","27.44M","-0.18%"
"11-04-2022","746.22","751.13","753.13","744.77","20.80M","-1.22%"
"08-04-2022","755.45","754.17","760.98","746.79","41.26M","-0.14%"
"07-04-2022","756.49","768.74","768.76","754.97","40.78M","-2.20%"
"06-04-2022","773.50","791.88","792.93","771.75","27.03M","-3.57%"
"05-04-2022","802.13","831.28","831.28","799.01","30.92M","-2.93%"
"04-04-2022","826.34","788.04","858.91","779.34","97.45M","10.01%"
"01-04-2022","751.13","736.37","753.13","733.33","14.57M","2.42%"
"31-03-2022","733.35","733.67","740.51","731.13","14.30M","-0.45%"
"30-03-2022","736.64","734.17","739.53","725.22","20.11M","1.73%"
"29-03-2022","724.10","718.71","728.31","713.23","12.38M","1.33%"
"28-03-2022","714.62","713.67","717.22","699.06","15.75M","0.13%"
"25-03-2022","713.67","723.70","724.20","707.74","16.37M","-0.81%"
"24-03-2022","719.53","731.18","733.00","715.49","20.16M","-2.47%"
"23-03-2022","737.79","751.63","757.52","734.97","31.19M","-1.00%"
"22-03-2022","745.22","738.81","747.14","726.79","10.46M","0.51%"
"21-03-2022","741.41","741.65","744.97","734.57","12.26M","0.44%"
"17-03-2022","738.19","734.17","743.05","733.45","14.82M","2.20%"
"16-03-2022","722.28","721.70","725.69","716.32","13.36M","1.70%"
"15-03-2022","710.23","719.96","722.95","704.12","18.87M","-1.29%"
"14-03-2022","719.48","705.74","723.20","705.74","25.02M","3.28%"
"11-03-2022","696.67","692.28","702.73","684.65","15.15M","0.29%"
"10-03-2022","694.62","711.73","711.73","688.41","22.27M","1.57%"
"09-03-2022","683.87","663.35","685.64","657.79","23.13M","3.26%"
"08-03-2022","662.25","649.48","665.34","644.40","39.21M","0.23%"
"07-03-2022","660.76","657.61","664.52","646.92","27.05M","-3.05%"
"04-03-2022","681.55","678.31","691.28","666.79","21.22M","-0.33%"
"03-03-2022","683.80","688.79","694.27","679.76","17.53M","-0.24%"
"02-03-2022","685.42","691.53","697.46","675.52","38.51M","-3.65%"
"28-02-2022","711.36","711.23","717.49","705.27","24.88M","-2.05%"
"25-02-2022","726.24","718.19","731.13","714.65","18.32M","2.59%"
"24-02-2022","707.94","723.15","735.64","701.83","23.63M","-5.43%"
"23-02-2022","748.59","760.66","760.96","745.97","9.03M","-0.65%"
"22-02-2022","753.48","743.05","759.16","742.13","9.54M","-0.75%"
"21-02-2022","759.16","750.13","763.45","745.92","7.47M","0.64%"
"18-02-2022","754.30","747.29","756.62","743.38","7.80M","0.39%"
"17-02-2022","751.38","754.67","759.11","749.14","7.35M","-0.61%"
"16-02-2022","755.99","765.27","765.47","751.63","10.03M","-0.14%"
"15-02-2022","757.02","736.17","760.56","734.70","13.14M","2.99%"
"14-02-2022","735.02","743.15","747.86","732.83","14.66M","-2.97%"
"11-02-2022","757.54","748.26","760.61","747.89","10.71M","-0.41%"
"10-02-2022","760.66","755.12","765.84","748.96","14.31M","1.84%"
"09-02-2022","746.94","735.17","747.99","731.68","11.31M","2.45%"
"08-02-2022","729.11","736.37","737.39","720.48","13.98M","-0.43%"
"07-02-2022","732.25","754.17","757.61","728.19","12.27M","-3.66%"
"04-02-2022","760.11","762.30","764.52","755.17","11.58M","0.57%"
"03-02-2022","755.79","762.48","768.06","752.63","10.56M","-1.04%"
"02-02-2022","763.70","754.10","765.60","750.93","13.97M","2.28%"
"01-02-2022","746.64","752.38","756.62","734.90","14.74M","0.76%"
"31-01-2022","741.01","734.55","743.92","731.58","12.84M","1.53%"
"28-01-2022","729.81","736.92","741.51","728.19","24.93M","-0.79%"
"27-01-2022","735.64","723.20","740.66","715.72","28.62M","-0.88%"
"25-01-2022","742.18","727.51","745.64","720.21","13.59M","0.09%"
"24-01-2022","741.48","753.10","758.74","731.95","11.87M","-2.30%"
"21-01-2022","758.91","748.14","763.00","740.96","11.54M","0.83%"
"20-01-2022","752.63","762.33","762.35","748.19","15.20M","-0.62%"
"19-01-2022","757.34","765.10","767.96","754.80","14.32M","-0.71%"
"18-01-2022","762.73","764.60","773.53","759.61","12.34M","0.51%"
"17-01-2022","758.86","763.10","776.07","757.69","22.99M","-1.53%"
"14-01-2022","770.66","763.10","772.43","757.61","11.21M","1.12%"
"13-01-2022","762.10","775.57","775.57","758.31","41.96M","-1.84%"
"12-01-2022","776.39","782.05","786.37","774.07","21.09M","-0.59%"
"11-01-2022","781.01","778.84","782.40","771.98","8.39M","0.43%"
"10-01-2022","777.64","777.07","784.05","770.83","8.86M","0.55%"
"07-01-2022","773.35","770.08","781.43","766.04","11.18M","0.70%"
"06-01-2022","767.96","769.59","775.45","763.13","9.63M","-1.60%"
"05-01-2022","780.48","766.49","784.05","762.15","14.33M","2.37%"
"04-01-2022","762.38","758.11","764.55","752.03","8.86M","0.59%"
"03-01-2022","757.94","740.66","759.61","738.41","9.07M","2.72%"
"31-12-2021","737.86","728.94","740.56","728.94","6.33M","1.22%"
"30-12-2021","728.94","727.44","731.60","720.71","7.22M","0.53%"
"29-12-2021","725.12","726.22","728.69","721.90","7.67M","-0.48%"
"28-12-2021","728.59","728.54","731.63","724.90","5.45M","0.69%"
"27-12-2021","723.60","712.68","725.20","709.31","4.71M","0.83%"
"24-12-2021","717.66","720.96","724.20","712.23","5.56M","-0.36%"
"23-12-2021","720.26","724.82","727.09","716.64","9.78M","-0.08%"
"22-12-2021","720.81","724.35","726.19","716.07","8.58M","0.24%"
"21-12-2021","719.11","717.96","723.57","713.23","9.12M","1.13%"
"20-12-2021","711.06","724.20","727.19","705.30","21.16M","-3.22%"
"17-12-2021","734.70","746.64","751.13","732.03","14.99M","-1.80%"
"16-12-2021","748.19","754.52","756.62","745.15","13.21M","0.01%"
"15-12-2021","748.14","749.63","759.78","745.97","10.12M","-0.16%"
"14-12-2021","749.36","749.39","756.12","746.67","9.19M","-0.58%"
"13-12-2021","753.70","761.11","766.92","751.73","10.32M","-0.75%"
"10-12-2021","759.39","760.56","762.10","752.35","7.78M","-0.28%"
"09-12-2021","761.53","770.68","775.42","759.11","11.75M","-1.73%"
"08-12-2021","774.97","766.09","775.60","765.10","15.30M","1.84%"
"07-12-2021","760.96","755.10","764.10","753.08","12.43M","1.46%"
"06-12-2021","750.03","754.62","757.52","746.82","7.03M","-0.64%"
"03-12-2021","754.90","761.01","766.07","751.65","8.12M","-0.80%"
"02-12-2021","760.98","750.38","762.50","748.14","11.20M","1.40%"
"01-12-2021","750.46","745.64","751.65","742.70","8.68M","0.74%"
"30-11-2021","744.92","745.64","762.60","741.43","25.22M","-0.51%"
"29-11-2021","748.76","745.54","751.95","729.19","12.99M","0.76%"
"26-11-2021","743.10","748.14","751.48","740.66","18.62M","-2.36%"
"25-11-2021","761.08","755.52","764.75","751.63","10.25M","0.52%"
"24-11-2021","757.14","760.11","766.27","755.15","30.80M","0.16%"
"23-11-2021","755.89","749.14","762.00","746.32","11.24M","0.01%"
"22-11-2021","755.79","771.08","774.42","747.66","15.26M","-1.56%"
"18-11-2021","767.79","761.13","769.83","760.73","9.15M","0.56%"
"17-11-2021","763.50","766.54","770.08","762.35","7.60M","-1.11%"
"16-11-2021","772.08","775.57","776.67","768.89","8.25M","-0.59%"
"15-11-2021","776.69","779.11","783.97","775.27","9.53M","0.27%"
"12-11-2021","774.57","773.08","777.59","770.61","14.91M","0.30%"
"11-11-2021","772.23","773.10","775.52","765.89","8.00M","-0.45%"
"10-11-2021","775.69","782.05","782.55","773.08","13.71M","-1.08%"
"09-11-2021","784.17","795.32","795.32","782.58","12.70M","-1.75%"
"08-11-2021","798.14","794.07","800.36","783.28","18.94M","0.40%"
"04-11-2021","795.00","795.52","796.94","793.08","1.10M","0.79%"
"03-11-2021","788.76","800.56","802.95","785.82","10.21M","-1.57%"
"02-11-2021","801.38","801.01","808.99","798.04","13.24M","0.09%"
"01-11-2021","800.66","790.53","803.50","789.81","8.12M","1.42%"
"29-10-2021","789.46","793.03","799.01","778.06","12.41M","-0.67%"
"28-10-2021","794.82","822.95","822.95","791.61","17.80M","-2.99%"
"27-10-2021","819.36","824.32","830.46","816.62","13.25M","-0.60%"
"26-10-2021","824.32","822.95","834.85","821.13","12.09M","-0.26%"
"25-10-2021","826.44","842.90","842.90","804.90","16.43M","-1.41%"
"22-10-2021","838.29","837.96","851.88","833.30","12.18M","0.27%"
"21-10-2021","836.07","833.83","838.89","828.36","9.74M","0.15%"
"20-10-2021","834.85","842.45","847.27","830.16","10.91M","-0.88%"
"19-10-2021","842.25","835.65","844.12","833.43","8.99M","1.10%"
"18-10-2021","833.08","850.38","860.36","831.46","28.86M","-1.01%"
"14-10-2021","841.61","816.97","842.90","816.97","14.76M","2.93%"
"13-10-2021","817.67","816.47","821.95","812.98","6.23M","0.60%"
"12-10-2021","812.78","810.48","818.74","810.48","8.18M","-0.26%"
"11-10-2021","814.87","797.96","820.46","797.52","13.08M","1.94%"
"08-10-2021","799.34","804.00","808.99","798.09","7.25M","-0.49%"
"07-10-2021","803.25","811.28","811.83","801.51","11.27M","-0.27%"
"06-10-2021","805.45","796.02","811.41","791.53","18.60M","1.22%"
"05-10-2021","795.75","794.02","796.77","786.17","10.26M","0.61%"
